"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0065008"	"regulation of biological quality"	"72/129"	"2689/23973"	4.91944731778187e-35	3.57151875270964e-32	1.44994236734623e-33	"Ldlrap1/Aanat/Aatk/Abca1/Abca4/Abcb7/Abcg1/Abl1/Abl2/Acadl/Acadvl/Asic2/Asic1/Ace/Apoc4/Aco1/Acox1/Acp5/Chrna1/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Actb/Actg1/Actn2/Acta2/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam22/Adam8/Adcy6/Adcyap1/Adcyap1r1/Add1/Add2/Plin2/Adh1/Adh7/Adh5/Adm/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Ager/Angpt1/Itga7/Napsa/Cd40/Cd40lg/Adh4"	72
"GO:0032501"	"multicellular organismal process"	"92/129"	"6743/23973"	2.57249034420478e-24	9.33813994946336e-22	3.79103840198599e-23	"Ldlrap1/Re/Asl/Pzp/Aatk/Abca1/Abca4/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Asic2/Asic1/Ace/Macf1/Aco1/Acox1/Acp2/Acp5/Chrna1/Chrna4/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Acta1/Actb/Actc1/Actg1/Actn2/Acta2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam8/Adam9/Adamts1/Adcy6/Adcy8/Adcyap1/Adcyap1r1/Add1/Add2/Adh1/Adh5/Adk/Adm/Adnp/Adora1/Adora2a/Adora2b/Adora3/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Dusp2/Itga7/Napsa/Cd40/Cd40lg/A2m/Taf10/Sap30"	92
"GO:0010562"	"positive regulation of phosphorus metabolic process"	"36/129"	"786/23973"	1.08323895192805e-23	1.9660786977494e-21	7.98176069841718e-23	"Abca1/Abi1/Abl1/Abl2/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Ang/Cd40"	36
"GO:0045937"	"positive regulation of phosphate metabolic process"	"36/129"	"786/23973"	1.08323895192805e-23	1.9660786977494e-21	7.98176069841718e-23	"Abca1/Abi1/Abl1/Abl2/Chrna7/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Ang/Cd40"	36
"GO:0065007"	"biological regulation"	"111/129"	"10464/23973"	1.39606149556901e-23	1.97211348265033e-21	8.00626033263871e-23	"Ldlrap1/Pzp/Aanat/Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Asic2/Asic1/Ace/Apoc4/Macf1/Aco1/Acox1/Acp5/Chrna1/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Actb/Actc1/Actg1/Actn2/Acta2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam11/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam4/Adam5/Adam7/Adam8/Adam9/Adamts1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Add2/Plin2/Adh1/Adh7/Adh5/Adk/Adm/Gpr182/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Parp2/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Aebp1/Aebp2/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Itga7/Napsa/Paox/Cenpj/Cd40/Cd40lg/A2m/Taf10/Adh4/Atf7ip/Sap30/Mzb1"	111
"GO:0044707"	"single-multicellular organism process"	"90/129"	"6585/23973"	1.62984585343002e-23	1.97211348265033e-21	8.00626033263871e-23	"Ldlrap1/Re/Asl/Pzp/Aatk/Abca1/Abca4/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Asic2/Asic1/Ace/Macf1/Aco1/Acp2/Acp5/Chrna1/Chrna4/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Acta1/Actb/Actc1/Actg1/Actn2/Acta2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam8/Adam9/Adamts1/Adcy6/Adcy8/Adcyap1/Adcyap1r1/Add1/Add2/Adh1/Adh5/Adk/Adm/Adnp/Adora1/Adora2a/Adora2b/Adora3/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Dusp2/Itga7/Napsa/Cd40/Cd40lg/Taf10/Sap30"	90
"GO:0044699"	"single-organism process"	"118/129"	"12977/23973"	1.63662718453829e-20	1.69741619424971e-18	6.8910618296349e-20	"Ldlrap1/Re/Asl/Pzp/Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Acads/Asic2/Asic1/Ace/Apoc4/Macf1/Aco1/Aco2/Acox1/Acp2/Acp5/Chrna1/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Acta1/Actb/Actc1/Actg1/Actn2/Acta2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam11/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam4/Adam5/Adam7/Adam8/Adam9/Adamts1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Add2/Plin2/Adh1/Adh7/Adh5/Adk/Adm/Gpr182/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Parp2/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Dusp2/Itga7/Napsa/Paox/Cenpj/Cd40/Cd40lg/A2m/Taf10/Adh4/Atf7ip/Sap30/Mzb1"	118
"GO:0071704"	"organic substance metabolic process"	"100/129"	"9162/23973"	8.46547111439669e-20	7.68241503631499e-18	3.11885777898825e-19	"Ldlrap1/Asl/Pzp/Aanat/Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Acads/Asic2/Ace/Macf1/Aco1/Aco2/Acox1/Acp1/Chrna4/Chrna7/Chrnb2/Adipoq/Actc1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam11/Adam12/Adam15/Adam17/Adam19/Adam2/Adam22/Adam5/Adam7/Adam8/Adam9/Adamts1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Adh1/Adh7/Adh5/Adk/Adm/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adprh/Parp1/Parp2/Adra1b/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Aebp1/Aebp2/Aga/Acan/Ager/Angpt1/Ang/Cebpb/Dusp2/Napsa/Paox/Cenpj/Cd40/Cd40lg/A2m/Taf10/Adh4/Cpsf4/Atf7ip/Sap30/Mzb1"	100
"GO:0044238"	"primary metabolic process"	"97/129"	"8743/23973"	3.08028900478781e-19	2.31179637498743e-17	9.38528323903842e-19	"Ldlrap1/Asl/Pzp/Aanat/Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Acads/Ace/Macf1/Aco1/Aco2/Acox1/Acp1/Chrna4/Chrna7/Chrnb2/Adipoq/Actc1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam10/Adam11/Adam12/Adam15/Adam17/Adam19/Adam2/Adam22/Adam5/Adam7/Adam8/Adam9/Adamts1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Adh1/Adh7/Adh5/Adk/Adm/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adprh/Parp1/Parp2/Adra1b/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Aebp1/Aebp2/Aga/Acan/Ager/Angpt1/Ang/Cebpb/Dusp2/Napsa/Paox/Cenpj/Cd40/Cd40lg/A2m/Taf10/Adh4/Cpsf4/Atf7ip/Sap30"	97
"GO:0008152"	"metabolic process"	"103/129"	"9898/23973"	3.18429252753089e-19	2.31179637498743e-17	9.38528323903842e-19	"Ldlrap1/Asl/Pzp/Aanat/Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Acads/Asic2/Ace/Macf1/Aco1/Aco2/Acox1/Acp1/Acp2/Acp5/Chrna4/Chrna7/Chrnb2/Adipoq/Actc1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam11/Adam12/Adam15/Adam17/Adam19/Adam2/Adam22/Adam5/Adam7/Adam8/Adam9/Adamts1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Adh1/Adh7/Adh5/Adk/Adm/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adprh/Parp1/Parp2/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Aebp1/Aebp2/Aga/Acan/Ager/Angpt1/Ang/Cebpb/Dusp2/Napsa/Paox/Cenpj/Cd40/Cd40lg/A2m/Taf10/Adh4/Cpsf4/Atf7ip/Sap30/Mzb1"	103
