"ID"	"Description"	"Count"	"GeneRatio"	"geneID"
"GO:0000003"	"reproduction"	39	"39/137"	"Adamts1/Adamts1/Acvr1/Acvr1/Acvr1/Adcyap1r1/Angpt1/Acvr1/Acox1/Ace/Acvr1/Acvr2a/Adam3/Adam3/Adam3/Acvr1/Adcyap1/Acox1/Acvr2a/Acvr1/Acvr2a/Adcyap1r1/Ace/Acvr1/Adcyap1r1/Angpt1/Acvr1/Chrna7/Chrna7/Acvr1/Adamts1/Acox1/Angpt1/Adamts1/Adamts1/Adcyap1r1/Adamts1/Acox1/Adcyap1r1"
"GO:0008152"	"metabolic process"	312	"312/137"	"Asic2/Acp5/Cd40/Cd40lg/Adamts1/Adra2c/Acan/Adamts1/Abl1/Acvrl1/Parp2/Adra2b/Parp1/Aebp2/Adrb1/Aco2/Acvr1/Acvr1/Acvr1/Aco2/Abca2/Parp1/Adra2a/Chrna4/Acvrl1/Adra1a/Adcyap1r1/Adh1/Adm/Atf7ip/Adipoq/Adam22/Adam7/Adipoq/Angpt1/Ang/Adcy8/Adh7/Abca2/Acads/Adora2b/Acp1/Parp1/Adk/Adra2a/Acvr1/Adora1/Adam8/Adipoq/Abca4/Adam11/Adora2a/Acox1/Abi1/Acp5/Adsl/Adra2c/Adra2a/Adora2b/Adam12/Aebp1/Acan/Adora2a/Adam9/Acads/Acvr1b/Ace/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Adra2b/Adra2b/Aco2/Acp2/Abcg1/Adh1/Adam5/Adra1b/Chrna4/Adra2c/Abcg1/Adh1/Parp2/Adora2b/Abca4/Adra2a/Acp1/Parp2/Aatk/Adam17/Acvrl1/Adprh/Ldlrap1/Chrnb2/Adam9/Adora1/Adam22/Aga/Adam12/Acvr1b/Parp1/Abca1/Acvr1/Aco1/Acads/Adcyap1/Mzb1/Adora1/Acads/Adam19/Pzp/A2m/Acox1/Adam2/Aspa/Adam10/Aspa/Ager/Acvr2a/Cfd/Adssl1/Adss/Aspa/Adssl1/Asic2/Acvr2b/Abca4/Adora2b/Abl1/Parp1/Adk/Aebp2/Add1/Adra2a/Adss/Acvr1/Adh7/Aanat/Adh7/Adh5/Acadvl/Adam8/Acadm/Adora2b/Adam9/Abca2/Adh7/Adipoq/Taf10/Cpsf4/Sap30/Adam22/Adcy6/Adh1/Acan/Acadl/Parp1/Adk/Adipoq/Macf1/Pzp/Actc1/Adam10/Adrb2/Adam10/Abi1/Napsa/Acvr2a/Adrb2/Adcyap1r1/Asic2/Acadm/Adam11/Adh1/Adh7/Adcy6/Aanat/Aanat/Aanat/Abca1/Abi1/Abl1/Asic2/Ace/Macf1/Macf1/Acan/Adam2/Acp1/Acp2/Cebpb/Cenpj/Chrnb2/Acvr1/Acvr1b/Adam15/Adam5/Adam8/Adcy7/Adcy8/Adcy9/Adcy9/Adcyap1r1/Adh1/Adh7/Adh5/Adh5/Adk/Adk/Cfd/Parp1/Parp1/Parp2/Adra2a/Adra2b/Adrb2/Adssl1/Angpt1/Acads/Aco1/Adam2/Adcy9/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora2a/Acvrl1/Adora1/Abca4/Chrna7/Chrna7/Adora2b/Acvr1/Adam19/Adnp/Adamts1/Adsl/Asl/Adh7/Adh4/Abl2/Adcy9/Chrna4/Adora1/Abl2/Adipoq/Abcb7/Adh1/Adnp/Adora1/Abl2/Abca4/Adh1/Parp2/Adh1/Adora1/Acvr1b/Acvr1b/Abcb7/Acadl/Adh1/Adrb3/Acox1/Paox/Acan/Acadl/Actn2/Adam15/Adh1/Adh7/Adss/Angpt1/Adam7/Parp1/Adh7/Adss/Aco1/Adam17/Parp2/Adamts1/Adra1a/Acp1/Asic2/Pzp/Pzp/Adam7/Acvr1b/Adipoq/Aatk/Abcg1/Adamts1/Adcyap1r1/Dusp2/Adam10/Macf1/Adamts1/Adra2c/Abcb7/Acadl/Acox1/Adra2a/Chrnb2/Abca2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0002376"	"immune system process"	97	"97/137"	"Cd40/Cd40lg/Add2/Abl1/Adora3/Chrna4/Adora3/Adipoq/Adipoq/Angpt1/Adora2b/Adk/Adora1/Adam8/Adipoq/Adora2a/Abi1/Adora2b/Add2/Angpt2/Adora2a/Adam9/Acvr1b/Ace/Chrnb2/Acvr2a/Chrna4/Adora2b/Adam17/Chrnb2/Adam9/Adora1/Acvr1b/Adcyap1/Mzb1/Adora1/A2m/Adam10/Acvr2a/Cfd/Adora2b/Abl1/Adk/Add1/Adam8/Adora2b/Adam9/Adipoq/Adk/Adipoq/Adora3/Adam10/Adam10/Abi1/Adora3/Acvr2a/Abi1/Abl1/Ace/Chrnb2/Acvr1b/Adam15/Adam8/Adk/Adk/Cfd/Adora3/Angpt1/Abl1/Adora3/Adora2a/Adora1/Chrna7/Chrna7/Adora2b/Adora3/Abl2/Chrna4/Adora1/Angpt2/Abl2/Adipoq/Adora1/Abl2/Adora1/Acvr1b/Acvr1b/Adam15/Angpt1/Adam17/Acvr1b/Adipoq/Adam10/Chrnb2/Adam9/Adam8/Chrna4"
"GO:0040007"	"growth"	58	"58/137"	"Abl1/Acvrl1/Parp1/Adrb1/Parp1/Acvrl1/Adra1a/Adm/Parp1/Re/Chrna1/Chrna1/Acvr1b/Parp1/Adra1b/Aatk/Adam17/Acvrl1/Acvr1b/Parp1/Adam10/Acvr2b/Abl1/Parp1/Add1/Taf10/Parp1/Adam10/Adrb2/Adam10/Adrb2/Abl1/Chrnd/Acvr1b/Adam15/Parp1/Parp1/Adrb2/Aatk/Abl1/Acvrl1/Adnp/Adnp/Acvr1b/Acvr1b/Adrb3/Chrnd/Adam15/Parp1/Adam17/Adra1a/Chrna1/Chrnd/Acvr1b/Aatk/Adam10/Chrna1/Adrb1"
"GO:0009987"	"cellular process"	366	"366/137"	"Asic2/Acp5/Cd40/Cd40lg/Adra2c/Acan/Add2/Abl1/Acvrl1/Parp2/Adra2b/Avil/Parp1/Gpr182/Adora3/Aebp2/Chrng/Adrb1/Aco2/Acvr1/Acvr1/Acvr1/Aco2/Abca2/Parp1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adh1/Adm/Atf7ip/Chrne/Chrng/Adipoq/Adam22/Adam4/Adam7/Adipoq/Angpt1/Ang/Adcy8/Adh7/Abca2/Acads/Adora2b/Acp1/Parp1/Adk/Adra2a/Acvr1/Adora1/Re/Chrna1/Adam8/Adipoq/Abca4/Adam11/Asic1/Adora2a/Acox1/Acta1/Abi1/Acp5/Chrna1/Gpr182/Adsl/Adra2c/Adra2a/Avil/Adora2b/Aebp1/Add2/Angpt2/Acan/Adora2a/Adam9/Acads/Acvr1b/Ace/Acta1/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Adra2b/Adra2b/Aco2/Acp2/Abcg1/Adh1/Adam5/Adra1b/Chrna4/Adra2c/Asic1/Abcg1/Adh1/Adra1d/Chrnb1/Parp2/Adora2b/Abca4/Adra2a/Acp1/Parp2/Aatk/Adam17/Acvrl1/Adam3/Adam3/Adprh/Ldlrap1/Chrnb2/Adam9/Adora1/Adam3/Adam22/Aga/Acvr1b/Parp1/Abca1/Actb/Acvr1/Aco1/Acads/Adcyap1/Mzb1/Adora1/Acads/Adam19/Asic1/Actg1/A2m/Acox1/Adam2/Adra1d/Aspa/Adam10/Aspa/Ager/Acvr2a/Chrna6/Cfd/Adssl1/Adss/Aspa/Asic1/Adssl1/Asic2/Acvr2b/Abca4/Adora2b/Abl1/Parp1/Adk/Aebp2/Acta1/Add1/Adra2a/Adss/Acvr1/Adh7/Aanat/Adh7/Adh5/Acadvl/Adam8/Acadm/Adora2b/Adam9/Abca2/Adh7/Adipoq/Taf10/Cpsf4/Sap30/Adam22/Adcy6/Adh1/Acan/Acadl/Chrne/Parp1/Adk/Adipoq/Adora3/Macf1/Actc1/Actb/Adam10/Adrb2/Adam10/Gpr182/Actg1/Abi1/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Acadm/Adam11/Adh1/Adh7/Adcy6/Actg1/Adra1d/Aanat/Aanat/Aanat/Abca1/Abi1/Abl1/Asic2/Asic1/Ace/Macf1/Macf1/Acan/Adam2/Acp1/Acp2/Cebpb/Cenpj/Chrnb1/Chrnb2/Chrnd/Acvr1/Acvr1b/Adam15/Adam5/Adam8/Adcy7/Adcy8/Adcy9/Adcy9/Adcyap1r1/Adh1/Adh7/Adh5/Adh5/Adk/Adk/Gpr182/Gpr182/Gpr182/Cfd/Parp1/Parp1/Adora3/Parp2/Adra1d/Adra1d/Adra2a/Adra2b/Adrb2/Adssl1/Angpt1/Acads/Aco1/Adam2/Adcy9/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Abca4/Chrna6/Chrna7/Chrna7/Itga7/Adora2b/Actg1/Acvr1/Adam19/Adnp/Adam4/Adora3/Adsl/Asl/Adh7/Adh4/Abl2/Adcy9/Chrna4/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Abcb7/Adh1/Adnp/Adora1/Abl2/Abca4/Adh1/Parp2/Adh1/Adora1/Acvr1b/Acvr1b/Chrne/Asic1/Abcb7/Acadl/Adh1/Adrb3/Acox1/Paox/Acan/Actb/Acadl/Gpr182/Actn2/Acta1/Chrnd/Adam15/Adh1/Adh7/Adss/Angpt1/Adam7/Parp1/Adh7/Adss/Aco1/Adam17/Parp2/Adra1a/Acp1/Asic2/Chrna1/Chrnd/Adam7/Acvr1b/Adipoq/Aatk/Abcg1/Adcyap1r1/Dusp2/Adam10/Macf1/Adra2c/Abcb7/Acadl/Chrna1/Acox1/Adra2a/Chrnb2/Abca2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0022414"	"reproductive process"	67	"67/137"	"Adamts1/Adra2c/Adamts1/Adra2b/Acvr1/Acvr1/Acvr1/Adra2a/Adcyap1r1/Adm/Angpt1/Adra2a/Acvr1/Acox1/Adra2c/Adra2a/Acvr1b/Ace/Acvr1/Acvr2a/Adra2b/Adra2b/Adra2c/Adra2a/Adam3/Adam3/Adam3/Acvr1b/Acvr1/Adcyap1/Pzp/A2m/Acox1/Acvr2a/Adra2a/Acvr1/Pzp/Acvr2a/Adcyap1r1/Ace/Cebpb/Acvr1/Acvr1b/Adcyap1r1/Adra2a/Adra2b/Angpt1/Acvr1/Chrna7/Chrna7/Acvr1/Adamts1/Acvr1b/Acvr1b/Acox1/Angpt1/Adamts1/Pzp/Pzp/Acvr1b/Adamts1/Adcyap1r1/Adamts1/Adra2c/Acox1/Adra2a/Adcyap1r1"
"GO:0022610"	"biological adhesion"	69	"69/137"	"Acan/Abl1/Acvrl1/Acvrl1/Adipoq/Adipoq/Angpt1/Adam8/Adipoq/Adam12/Aebp1/Angpt2/Acan/Adam9/Macf1/Adam17/Acvrl1/Adam9/Adam12/Actb/Actg1/Adam2/Adam10/Ager/Abl1/Adam8/Adam9/Adipoq/Acan/Adipoq/Macf1/Actb/Adam10/Adrb2/Adam10/Actg1/Adrb2/Actg1/Abl1/Macf1/Macf1/Acan/Adam2/Adam15/Adam8/Adrb2/Angpt1/Adam2/Abl1/Macf1/Acvrl1/Itga7/Actg1/Abl2/Angpt2/Abl2/Adipoq/Abl2/Acan/Actb/Actn2/Adam15/Angpt1/Adam17/Adipoq/Adam10/Macf1/Adam9/Adam8"
"GO:0023052"	"signaling"	231	"231/137"	"Asic2/Cd40/Cd40lg/Adra2c/Abl1/Acvrl1/Parp2/Adra2b/Parp1/Gpr182/Adora3/Adrb1/Acvr1/Acvr1/Acvr1/Parp1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adm/Adipoq/Adam22/Adam4/Adam7/Adipoq/Angpt1/Adcy8/Adh7/Adora2b/Parp1/Adra2a/Acvr1/Adora1/Chrna1/Adam8/Adipoq/Adam11/Asic1/Adora2a/Chrna1/Gpr182/Adra2c/Adra2a/Adora2b/Angpt2/Adora2a/Adam9/Acvr1b/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Adra2b/Adra2b/Adam5/Adra1b/Chrna4/Adra2c/Asic1/Adra1d/Chrnb1/Parp2/Adora2b/Adra2a/Parp2/Aatk/Adam17/Acvrl1/Adam3/Adam3/Ldlrap1/Chrnb2/Adam9/Adora1/Adam3/Adam22/Acvr1b/Parp1/Abca1/Acvr1/Adcyap1/Adora1/Adam19/Asic1/Adam2/Adra1d/Adam10/Ager/Acvr2a/Cfd/Asic1/Asic2/Acvr2b/Adora2b/Abl1/Parp1/Adra2a/Acvr1/Adh7/Adh7/Adam8/Adora2b/Adam9/Adh7/Adipoq/Adam22/Adcy6/Parp1/Adipoq/Adora3/Macf1/Adam10/Adrb2/Adam10/Gpr182/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Adam11/Adh7/Adcy6/Adra1d/Abca1/Abl1/Asic2/Asic1/Macf1/Macf1/Adam2/Cenpj/Chrnb1/Chrnb2/Acvr1/Acvr1b/Adam15/Adam5/Adam8/Adcy7/Adcy8/Adcy9/Adcy9/Adcyap1r1/Adh7/Gpr182/Gpr182/Gpr182/Cfd/Parp1/Parp1/Adora3/Parp2/Adra1d/Adra1d/Adra2a/Adra2b/Adrb2/Angpt1/Adam2/Adcy9/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Chrna7/Chrna7/Itga7/Adora2b/Acvr1/Adam19/Adnp/Adam4/Adora3/Adh7/Abl2/Adcy9/Chrna4/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Adnp/Adora1/Abl2/Parp2/Adora1/Acvr1b/Acvr1b/Asic1/Adrb3/Gpr182/Actn2/Adam15/Adh7/Angpt1/Adam7/Parp1/Adh7/Adam17/Parp2/Adra1a/Asic2/Chrna1/Adam7/Acvr1b/Adipoq/Aatk/Adcyap1r1/Adam10/Macf1/Adra2c/Chrna1/Adra2a/Chrnb2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0032501"	"multicellular organismal process"	289	"289/137"	"Asic2/Acp5/Cd40/Cd40lg/Adamts1/Adra2c/Acan/Adamts1/Add2/Abl1/Acvrl1/Adra2b/Avil/Adora3/Acta2/Chrng/Adrb1/Acvr1/Acvr1/Acvr1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adh1/Adm/Acta2/Chrne/Chrng/Adipoq/Adam22/Adipoq/Angpt1/Ang/Adcy8/Adora2b/Adk/Adra2a/Acvr1/Adora1/Re/Chrna1/Adam8/Adipoq/Abca4/Asic1/Adora2a/Acox1/Acta1/Abi1/Acta2/Acp5/Chrna1/Adra2c/Adra2a/Avil/Adora2b/Add2/Angpt2/Acan/Adora2a/Adam9/Acvr1b/Ace/Acta1/Macf1/Chrnb2/Acvr1/Acvr2a/Adra2b/Adra2b/Acp2/Abcg1/Adh1/Adra1b/Chrna4/Adra2c/Asic1/Abcg1/Adh1/Adra1d/Chrnb1/Adora2b/Abca4/Adra2a/Aatk/Adam17/Acvrl1/Adam3/Adam3/Ldlrap1/Chrnb2/Adam9/Adora1/Adam3/Adam22/Acvr1b/Abca1/Actb/Acvr1/Aco1/Adcyap1/Adora1/Adam19/Asic1/Actg1/Pzp/A2m/Acox1/Adam2/Adra1d/Aspa/Adam10/Aspa/Ager/Acvr2a/Aspa/Asic1/Asic2/Acvr2b/Abca4/Adora2b/Abl1/Adk/Acta1/Add1/Adra2a/Acvr1/Adh5/Acadvl/Adam8/Acadm/Adora2b/Adam9/Adipoq/Taf10/Sap30/Adam22/Adcy6/Adh1/Acan/Acadl/Chrne/Adk/Adipoq/Adora3/Macf1/Pzp/Actc1/Actb/Adam10/Adrb2/Adam10/Actg1/Abi1/Napsa/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Acadm/Adh1/Adcy6/Actg1/Adra1d/Abca1/Abi1/Abl1/Asic2/Asic1/Ace/Macf1/Macf1/Acan/Adam2/Acp2/Cebpb/Chrnb1/Chrnb2/Chrnd/Acvr1/Acvr1b/Adam15/Adam8/Adcy8/Adcyap1r1/Adh1/Adh5/Adh5/Adk/Adk/Adora3/Adra1d/Adra1d/Adra2a/Adra2b/Adrb2/Angpt1/Aco1/Adam2/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Abca4/Chrna7/Chrna7/Itga7/Adora2b/Actg1/Acvr1/Adam19/Adnp/Adamts1/Adora3/Asl/Abl2/Chrna4/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Adh1/Adnp/Adora1/Abl2/Abca4/Adh1/Adh1/Adora1/Acvr1b/Acvr1b/Chrne/Asic1/Acta2/Acadl/Adh1/Adrb3/Acox1/Acan/Actb/Acadl/Actn2/Acta1/Chrnd/Adam15/Adh1/Angpt1/Aco1/Adam17/Adamts1/Acta2/Adra1a/Asic2/Chrna1/Pzp/Pzp/Chrnd/Acvr1b/Adipoq/Aatk/Abcg1/Adamts1/Adcyap1r1/Dusp2/Adam10/Macf1/Adamts1/Adra2c/Acadl/Chrna1/Acox1/Adra2a/Chrnb2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0032502"	"developmental process"	202	"202/137"	"Asic2/Acp5/Cd40/Cd40lg/Adamts1/Adra2c/Acan/Adamts1/Add2/Abl1/Acvrl1/Adra2b/Avil/Adrb1/Acvr1/Acvr1/Acvr1/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adm/Adipoq/Adam22/Adipoq/Angpt1/Ang/Adora2b/Acvr1/Re/Chrna1/Adam8/Adipoq/Adora2a/Acta1/Abi1/Acp5/Chrna1/Adra2c/Avil/Adora2b/Add2/Angpt2/Acan/Adora2a/Adam9/Acvr1b/Ace/Acta1/Macf1/Chrnb2/Acvr1/Acvr2a/Adra2b/Adra2b/Acp2/Abcg1/Adra1b/Adra2c/Abcg1/Adra1d/Chrnb1/Adora2b/Aatk/Adam17/Acvrl1/Chrnb2/Adam9/Adam22/Acvr1b/Actb/Acvr1/Aco1/Adcyap1/Adam19/Actg1/Pzp/A2m/Adra1d/Aspa/Adam10/Aspa/Ager/Acvr2a/Aspa/Asic2/Acvr2b/Adora2b/Abl1/Acta1/Add1/Acvr1/Adam8/Acadm/Adora2b/Adam9/Adipoq/Taf10/Sap30/Adam22/Adcy6/Acan/Adipoq/Macf1/Pzp/Actc1/Actb/Adam10/Adrb2/Adam10/Actg1/Abi1/Acvr2a/Adrb2/Adcyap1r1/Asic2/Acadm/Adcy6/Actg1/Adra1d/Abi1/Abl1/Asic2/Ace/Macf1/Macf1/Acan/Acp2/Cebpb/Chrnb1/Chrnb2/Chrnd/Acvr1/Acvr1b/Adam15/Adam8/Adcyap1r1/Adra1d/Adra1d/Adra2b/Adrb2/Angpt1/Aco1/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora2a/Acvrl1/Chrna7/Chrna7/Itga7/Adora2b/Actg1/Acvr1/Adam19/Adnp/Adamts1/Asl/Abl2/Angpt2/Adra1d/Abl2/Adipoq/Adnp/Abl2/Acvr1b/Acvr1b/Adrb3/Acan/Actb/Acta1/Chrnd/Adam15/Angpt1/Aco1/Adam17/Adamts1/Adra1a/Asic2/Chrna1/Pzp/Pzp/Chrnd/Acvr1b/Adipoq/Aatk/Abcg1/Adamts1/Adcyap1r1/Dusp2/Adam10/Macf1/Adamts1/Adra2c/Chrna1/Chrnb2/Adrb1/Adcyap1r1/Adam9/Adam8"
