TF	len(totalGenes)	len(deGenes)	B1	B1Gene	B2	B2Gene	Ratio	Pval
Hnf1a	718	60	47	Pdgfc,Lect2,Lpl,Nqo1,Fabp4,Stmn1,Afp,Psat1,Lgals1,Anxa2,Ang,Cfi,C1ra,Pla1a,Serpine1,Igf1,Hc,Igfals,Apcs,C6,Galk1,Afm,Cdh1,C8b,Dpp4,C8a,Ddc,Lcp1,C9,Itih1,Ctsc,Mmp12,Pigr,Plg,Igfbp4,Serping1,Cpb2,Pygb,Thbs1,Nit2,Cbr3,Ftcd,Cbr1,Pah,Aldh1l1,Saa1,Fabp1	4	Pygb,Ftcd,Aldh1l1,Fabp1	1.02015503875969	1
Abt1	718	60	7	Pdcd2,Impdh2,Snrpb,Ncl,Cct3,Cct2,Cct5	0		0	1
Adnp2	718	60	5	Snrpe,Rbmxl1,Cct2,Cct5,Pcbp1	0		0	1
Aire	718	60	2	Sh3bgrl,Gart	0		0	1
Apex1	718	60	15	Impdh2,Pfas,Anp32b,Snrpe,Rbmxl1,Tcp1,Cct3,Cacybp,C1qbp,Cct7,Cct2,Hdgf,Cct6a,Cct5,Tubb5	0		0	0.625545116102201
Ascl2	718	60	8	Gna11,Arl3,Atxn10,Dsg2,Nt5c,Cdh1,Bbox1,Rdx	0		0	1
Ash2l	718	60	2	Itm2b,Gart	0		0	1
Atxn1	718	60	0		0		100	1
Bbx	718	60	0		0		100	1
Bcl6	718	60	2	Cct7,Cct5	0		0	1
Bclaf1	718	60	4	Ncl,Cct2,Srsf1,Hnrnpa1	0		0	1
Bhlhe40	718	60	3	Acp5,Gss,Pigr	0		0	1
Blm	718	60	12	Impdh2,Anp32b,Snrpe,Rbmxl1,Ruvbl2,Tcp1,Cct2,Hmgb2,Cct5,Tubb5,Prdx5,H2afx	0		0	0.612818086770286
Brca1	718	60	6	Cdk1,Ruvbl2,Cct2,Srsf1,Hmgb2,H2afx	0		0	1
Brca2	718	60	7	Impdh2,Cdk1,Snrpe,Tcp1,Cct2,Cct5,H2afx	0		0	1
Brip1	718	60	3	Cdk1,Hmgb2,H2afx	0		0	1
Camta2	718	60	2	Nudcd2,Srsf1	0		0	1
Cbx2	718	60	9	Ppil1,Cdk1,Snrpb,Ruvbl2,Kpnb1,Hmgb2,Cad,Tubb5,H2afx	0		0	1
Cdc5l	718	60	3	Snrpb,Ncl,Cacybp	0		0	1
Cdk5rap2	718	60	1	Ruvbl2	0		0	1
Cdk9	718	60	0		0		100	1
Cdkn2a	718	60	1	Arf6	0		0	1
Cdx4	718	60	14	Gmppb,Ufm1,Lman1,Cel,D17Wsu104e,Sdc1,Txnrd1,Chid1,Ddc,Ufc1,Hyou1,Acly,Pdia6,Ldha	2	Hyou1,Acly	1.82777777777778	0.335438375661452
Cggbp1	718	60	2	Anp32b,Rpl7	0		0	1
Creb3	718	60	6	Impdh2,Ppil1,Srsf1,Hmgb2,Rpl26,Tubb2a	0		0	1
Crebl2	718	60	3	Cdk1,Tcp1,Scp2	1	Scp2	5.48333333333333	0.233241512168555
Cry1	718	60	1	Rbmxl1	0		0	1
Dbp	718	60	12	Nras,Cdk1,C1ra,Rbmxl1,Cct3,Igfbp6,Cct2,Hmgb2,Serping1,Tubb5,Hagh,H2afx	1	Hagh	0.996969696969697	1
Ddx20	718	60	4	Ruvbl2,Tcp1,Cct2,Scp2	1	Scp2	3.65555555555556	0.298023046459023
Ddx41	718	60	7	Pgm1,Wars,Psmc5,Galk1,Aars,Gss,Got1	1	Got1	1.82777777777778	0.460926998791185
Dhx33	718	60	6	Cct3,Cct2,Kpnb1,Cct6a,Cad,Cct5	0		0	1
Dnajc2	718	60	1	Cct2	0		0	1
Dnmt1	718	60	10	Impdh2,Cdk1,Snrpe,Rbmxl1,Cct2,Hnrnpa1,Hmgb2,Cct5,Rpl14,Tubb5	0		0	1
Dnmt3b	718	60	4	Impdh2,Pfas,Rbmxl1,Prdx5	0		0	1
E2f1	718	60	8	Cdk1,Anp32b,Rars,Cct2,Kpnb1,Cad,Cct5,Tubb5	0		0	1
E2f3	718	60	5	Rars,Rbmxl1,C1qbp,Ola1,Cct6a	0		0	1
E2f7	718	60	15	Impdh2,Pfas,Cdk1,Anp32b,Snrpe,Rbmxl1,Tcp1,Cct2,Kpnb1,Hmgb2,Cct6a,Cad,Cct5,Tubb5,H2afx	0		0	0.625545116102201
E2f8	718	60	7	Cdk1,Anp32b,Srsf1,Kpnb1,Hmgb2,Gstk1,H2afx	1	Gstk1	1.82777777777778	0.460926998791185
Elk1	718	60	0		0		100	1
En1	718	60	30	Ltbp1,Aebp1,Col5a2,Ddb1,Vcan,Pcolce,Axl,Bgn,Wisp1,Col12a1,Fscn1,Vasn,Plod3,Bmp1,Csf1,Fbln2,Mmp14,Ngf,Serpine1,11-Sep,Col2a1,Actn1,Vcl,Cyr61,Mmp2,Lox,Thbs1,Serpinf1,Col1a2,Col1a1	0		0	0.161216967304209
En2	718	60	0		0		100	1
Eomes	718	60	6	Glipr2,Marcks,Nt5e,Nt5c,Idh2,Gpx1	1	Gpx1	2.19333333333333	0.411403726089773
Esrrb	718	60	2	Sh3bgrl,Gart	0		0	1
Etv2	718	60	0		0		100	1
Etv4	718	60	4	Icam2,Itm2b,Gart,Crip2	0		0	1
Etv5	718	60	13	Ckb,Myo1c,Sema3e,Bcam,Ralb,Lpl,Pdgfb,Gusb,Rnh1,Spp1,Igf1,Gamt,Msn	0		0	0.61498086763534
Ezh2	718	60	11	Impdh2,Cdk1,Anp32b,Snrpe,Rbmxl1,Cct2,Hnrnpa1,Hmgb2,Cct5,Prdx5,H2afx	0		0	0.613299656314104
Foxd3	718	60	3	Serpinb6c,Itm2b,Gart	0		0	1
Foxh1	718	60	2	Sh3bgrl,Gart	0		0	1
Foxm1	718	60	9	Cdk1,Aprt,Ruvbl2,Kpnb1,Hmgb2,Gstk1,Cad,Scp2,H2afx	2	Gstk1,Scp2	3.13333333333333	0.174771016116476
Fubp3	718	60	1	Nudcd2	0		0	1
Gabpb1	718	60	4	Cct2,Srsf1,Hmgb2,Rpl7	0		0	1
Gbx2	718	60	7	Serpinb6c,Itm2b,Dsg2,Gart,Krt18,Vnn1,Fbp1	1	Fbp1	1.82777777777778	0.460926998791185
Gli1	718	60	3	Pacsin3,Arsb,Cfl2	0		0	1
Grhl3	718	60	9	Dsp,Tgm1,Krt14,Krt15,Krt10,Cdh1,Krt79,Krt1,Krt5	0		0	1
Gtf2e1	718	60	3	Rbmxl1,Cct2,Cct5	0		0	1
Gtf2e2	718	60	6	Cdk1,Rbmxl1,Tcp1,Cct7,Cct2,Cct5	0		0	1
Gtf2f1	718	60	2	Cct7,Cct2	0		0	1
Gtf2f2	718	60	2	Kpnb1,Hmgb2	0		0	1
Gtf3a	718	60	21	Pdcd2,Pck2,Impdh2,Pfas,Snrpb,Anp32b,Ncl,Snrpe,Rbmxl1,C1qbp,Cct2,Psma2,Eif3i,Rpl4,Cad,Cct5,Rpl14,Aimp1,Rps5,Rpl7,Rpl10a	0		0	0.403703015373986
Hdac1	718	60	17	C1qb,Fam20c,Anxa3,Lpl,Cdk1,Fabp4,Anp32b,Asah1,Grn,Igf1,Cd14,Srsf1,Hmgb2,Trf,Ctsb,Rpl7,Ctsl	0		0	0.386181571031542
Hdgf	718	60	4	Impdh2,Cct3,Eif3b,Cad	0		0	1
Hells	718	60	12	Impdh2,Pfas,Cdk1,Anp32b,Snrpe,Rbmxl1,Ruvbl2,Cct2,Hmgb2,Cct5,Prdx5,H2afx	0		0	0.612818086770286
Hesx1	718	60	4	Nudcd2,Ncl,Kpnb1,Cad	0		0	1
Hic2	718	60	7	Cryab,Serpinb9,Slc9a3r2,Itm2b,Lyz2,Gart,Igfbp6	0		0	1
Hivep2	718	60	6	Nrg3,Cdk1,Efemp1,Lgmn,Galk1,Cp	0		0	1
Hmga2	718	60	13	Cdk1,Nudcd2,Rars,Aprt,Snrpe,Rbmxl1,Galk1,Cct2,Kpnb1,Cct6a,Tubb5,Hagh,H2afx	1	Hagh	0.913888888888889	1
Hmgb1	718	60	15	Anp32b,Ncl,Snrpe,Rbmxl1,Srsf1,Hnrnpa1,Hmgb2,Cct6a,Rpl4,Rpl14,Rps5,Rpl7,Tubb5,Rpl10a,Hagh	1	Hagh	0.783333333333333	1
Hmgb2	718	60	7	Cdk1,Anp32b,Snrpe,Rbmxl1,Srsf1,Rpl7,H2afx	0		0	1
Hnrnpab	718	60	19	Impdh2,Snrpb,Nudcd2,Anp32b,Ncl,Snrpe,Rbmxl1,Cct2,Srsf1,Kpnb1,Hnrnpa1,Hmgb2,Cct6a,Cad,Cct5,Rpl14,Gnb2l1,Rpl7,H2afx	0		0	0.391024248587288
Ilf2	718	60	8	Rbmxl1,Cct7,Cct2,Srsf1,Cct6a,Cct5,Tubb5,H2afx	0		0	1
Ilf3	718	60	12	Impdh2,Xdh,Ruvbl2,Gars,Tcp1,Cct3,Cct7,Cct2,Gstk1,Cct5,Scp2,Prdx5	2	Gstk1,Scp2	2.19333333333333	0.271161865047361
Jarid2	718	60	3	Cnn2,Csf1,Arsb	0		0	1
Junb	718	60	17	Pfn2,Csk,Vasp,Bgn,Iqgap1,Sh3bgrl3,Rhoc,Csf1,Cd44,Ngf,Tagln2,Serpine1,Cyr61,Ostf1,Thbs1,Pebp1,Lgals9	0		0	0.386181571031542
Kdm1a	718	60	8	Arpc1a,Pck2,Rbmxl1,Tcp1,Cct7,Cct2,Cct6a,Cct5	0		0	1
Kdm3a	718	60	1	Hmgb2	0		0	1
Kdm5b	718	60	0		0		100	1
Khsrp	718	60	7	Anp32b,Eif3b,Hnrnpa1,Hmgb2,Cad,Tubb5,H2afx	0		0	1
Klf16	718	60	1	Tubb5	0		0	1
Lcorl	718	60	0		0		100	1
Lin28a	718	60	2	Itm2b,Gart	0		0	1
Lin28b	718	60	1	Itm2b	0		0	1
Lmx1a	718	60	1	Plaur	0		0	1
Maf	718	60	18	Kitl,C1qb,Ckb,Ahnak,Nrp1,Lpl,Fabp4,Serpinb6a,Xdh,Lipa,Cfh,Qpct,Igf1,Cd14,Cndp2,Mmp12,Rnase4,Ctsb	0		0	0.387501293412469
Max	718	60	2	Pfkp,Arf6	0		0	1
Mcm8	718	60	7	Cdk1,Snrpe,Rbmxl1,Tcp1,Cct2,Hmgb2,Cct5	0		0	1
Med26	718	60	1	Scp2	1	Scp2	100	0.0848400556328234
Med6	718	60	5	Snrpe,Rbmxl1,Cct2,Psma2,Hmgb2	0		0	1
Mnx1	718	60	13	Ufm1,Lman1,Cel,Fkbp2,Sdc1,Chid1,Ddc,Cntn1,Ufc1,Pdia6,Ttr,Cat,Ldha	0		0	0.61498086763534
Msc	718	60	0		0		100	1
Msl3	718	60	1	Dsc2	0		0	1
Mxd3	718	60	12	Cdk1,Snrpb,Anp32b,Snrpe,Rbmxl1,Cct2,Srsf1,Hmgb2,Cad,Rpl14,Tubb5,H2afx	0		0	0.612818086770286
