Gene	HC_HC_D1	HC_HC_D3	HC_HC_D6	HC_HC_D10
Lrrc16a	0	0	0	1.026846437
Ltbp1	0	0	0	1.173243932
Huwe1	0	0	0	1.257729661
Ehd4	0	0	0	1.384679889
Sntb2	0	0	0	1.388001596
Pdgfc	0	0	0	1.437294286
Kitl	0	0	0	1.670337039
Acsl4	0	0	0	1.677882641
Ap1m1	0	0	0	1.745733398
Hyal1	0	0	0	1.769194659
Pfkp	0	0	0	1.857424965
Gipc1	0	0	0	1.882521586
Aebp1	0	0	0	2.015962459
Ccdc80	0	0	0	2.029728284
Gmppb	0	0	0	2.033018309
Oxsr1	0	0	0	2.075820467
Src	0	0	0	2.110237952
Nras	0	0	0	2.116835738
Capn1	0	0	0	2.11857795
Snap23	0	0	0	2.128081582
Cryab	0	0	0	2.135310844
Glb1	0	0	0	2.145724971
Prss35	0	0	0	2.151885635
Col3a1	0	0	0	2.152827251
Ctsf	0	0	0	2.171384416
Vta1	0	0	0	2.19314012
Abi1	0	0	0	2.218320606
1190002N15Rik	0	0	0	2.231991929
C1qb	0	0	0	2.236400451
Chmp2b	0	0	0	2.252864388
Anxa1	0	0	0	2.265177593
Smpd1	0	0	0	2.285163445
Atp6v1b2	0	0	0	2.285302549
Rab2a	0	0	0	2.293982553
Ptgr1	0	0	0	2.321365734
Pdcd2	0	0	0	2.398744828
Wasl	0	0	0	2.464903363
Gna11	0	0	0	2.478312571
Vcam1	0	0	0	2.491531741
Dcn	0	0	0	2.557083462
Tfg	0	0	0	2.623055496
Col5a2	0	0	0	2.651218421
Gnai2	0	0	0	2.651409405
Rheb	0	0	0	2.681542792
Anxa7	0	0	0	2.734875907
Stx7	0	0	0	2.77815569
Cops8	0	0	0	2.794707591
Gprc5a	0	0	0	2.801663411
Pfn2	0	0	0	2.901080768
Rpl30	0	0	0	3.02827733
S100a6	0	0	0	3.13792139
Nrg3	0	0	0	3.244505472
Dpysl3	0	0	0	3.27354892
Uchl1	0	0	0	3.976859257
Lama5	0	0	0.721721909	0
Ptprd	0	0	0.952645243	0
Epb4.1l2	0	0	0.980988915	1.959827947
Spag9	0	0	1.017762535	0
Ckb	0	0	1.121438054	3.341307519
Arpc1a	0	0	1.150851733	0
Brox	0	0	1.178728019	0
Myo1c	0	0	1.214497048	1.613558309
Serpinb9	0	0	1.30633662	0
Sema3e	0	0	1.32415432	2.524424481
Bmp4	0	0	1.330852602	1.530039439
Snx18	0	0	1.340656612	2.647441982
Tsg101	0	0	1.382458425	2.1665723
Plbd2	0	0	1.383484618	0
Dnm2	0	0	1.407475295	2.332204273
Pck2	0	0	1.408318647	0
Pamr1	0	0	1.47861987	2.7806406
Dlg1	0	0	1.479609121	1.894951282
Icam2	0	0	1.502646425	0
Csk	0	0	1.552955754	2.704328709
Fkbp4	0	0	1.554026821	2.178709315
Hdhd2	0	0	1.557601133	0
Enpp2	0	0	1.579974597	0
Ddah2	0	0	1.606539225	2.363418425
Iars	0	0	1.628362712	1.440006377
Fstl1	0	0	1.662065809	3.328779294
Nid2	0	0	1.667532431	0
Npc1	0	0	1.686640264	0
Ptpn23	0	0	1.688856597	1.476733505
Pacsin3	0	0	1.691879385	1.739114394
Ddb1	0	0	1.69245118	1.442593701
Lamp2	0	0	1.727131464	1.601670269
Vcan	0	0	1.729726113	0
