Symbol,Exp000978,Exp000979,Exp000980,Exp000977
PNO1,7.49949598817,6.6008392944,7.07590668273,7.42898291369
SALL4,0,0,0,5.64507279513
CTDSPL2,0,0,6.7686260829,0
FUBP3,7.81225954477,7.5565705742,7.43778225182,7.64377137476
DHX9,8.80950691838,8.67794100902,8.53774447298,8.5951652297
EIF4G3,0,0,6.45229587076,0
CBX8,7.78057479338,7.17391508223,0,6.83905429607
DECR2,0,6.78178249192,7.39334944646,6.75694791675
GTF3C1,8.03750210577,7.06167544775,8.35512328513,8.42186572052
INCENP,7.64733271565,6.86718484472,7.18195740334,6.9680273773
MED13,0,0,6.69816063301,0
JUND,8.00286601801,7.58028914995,7.53111325502,7.31323990316
KRT33B,7.13636561378,0,7.30958555111,7.13515293543
SRFBP1,7.06305349075,0,0,7.62310961101
POLR1A,8.88052463121,8.39326423215,7.96925848901,8.71987167375
TAF8,8.03541158915,7.15614244325,7.29567681277,7.6874673157
HEY1,7.52340692775,7.15918490293,6.9699276386,7.09734141028
HIST1H2AJ,8.72938042719,7.82209514247,7.65442771674,8.11399239792
EIF3K,7.16705539256,6.90206541991,7.53229257126,7.21561272213
TOP3A,7.41093525064,0,0,0
SART1,8.36379508417,7.40978272226,7.26124569513,8.26699495686
TRIP12,8.78795361195,8.03891084136,8.3796620259,9.02403555478
POLR2L,0,0,0,6.4877351488
XRCC5,10.4649981056,10.4486608575,10.3207894246,10.4530139743
PTBP2,8.29771719954,8.5046538877,8.63922864258,8.23501341856
ABCE1,0,7.0648925753,7.19873264563,0
RB1,7.6573158296,7.61402298373,7.33006920315,7.6536964852
LARS,0,0,6.92906747097,6.8434706787
ZNF592,7.11515333693,0,0,6.91890704627
DCAF7,7.79016795629,7.35964280238,7.37045037142,7.12345489701
COPG2,6.98327122199,6.94172764894,7.0031410484,6.80564748123
ZBTB44,7.80063148247,7.42887637043,6.92656906962,7.20321860382
OTUB1,0,0,5.9998659239,0
PCGF1,8.77271163402,8.22499404687,8.36811420338,8.44110291873
PSPC1,8.36833366038,8.32524929563,8.3944016356,8.69634982534
CEP170,0,0,0,7.9349180266
FAM98B,6.61811740184,0,6.23316092287,6.61221537524
SUCLG1,7.97914944856,0,8.21585371075,8.19428455273
ABCF1,0,7.98643222364,0,0
ARG1,0,6.47439263781,0,0
MST4,0,6.81024199395,6.41144759116,0
E2F6,7.58470161395,7.13137364155,7.569026151,8.08249582056
SRP72,0,0,7.99228990177,0
TRAPPC5,7.12512493292,7.66908413256,7.40791128081,7.00565774353
BANP,7.66671108756,0,0,0
ZSCAN29,0,6.22120867736,0,5.618497985
GEMIN8,6.79774082667,6.02378303536,6.18905806941,6.69934135169
SMU1,8.44493759888,7.6822002259,7.3237125888,7.82240564067
EML3,6.79861294912,6.53670817586,0,6.82160614436
MED12,7.45311527807,6.50564510875,7.57537768339,7.30057784161
POU4F2,8.86781877704,8.409613154,8.445742183,8.67856750195
MAZ,9.27674628437,8.7187409315,8.80565836116,9.15496961145
RPRD1B,8.0541598539,7.51832561495,7.62192813773,7.38913823697
C21orf59,0,6.36610692535,6.39221547809,0
GNB4,0,0,0,0
RRBP1,0,0,6.70708958038,0
KDM5A,7.56218462931,6.53973997286,7.38826130047,7.04722548128
POLRMT,6.62501492654,6.43611421609,6.8272642294,7.07356540247
POU3F1,0,0,0,7.34422936804
POT1,7.47051631228,7.02264134023,7.10982342258,7.39358651594
CDC5L,8.28201817899,7.39938500453,7.57855308811,7.83614897886
BRD3,6.73559500081,7.0304894961,7.06568473437,6.79534874275
WRN,6.5474675022,6.43731330778,0,0
FOXF1,0,6.124457428,0,0
PARP2,7.66201878195,6.48745394373,7.21020173263,7.13824192935
TARBP1,0,6.65016156167,0,0
TAF4,8.17925389507,8.04228333233,8.12908784863,8.43320599268
NKX6-1,7.32006138292,7.02004306594,6.90459466423,6.62234282127
AIMP2,7.36007087768,6.78688355222,7.42713851519,7.70585941198
SAV1,6.28242165192,0,0,0
KNOP1,7.15682014005,0,0,0
GTPBP10,6.94672701799,0,6.05927688128,0
MLXIP,0,0,6.29589852192,0
TOP1,10.1082857582,9.56826772468,9.39847571587,9.66709651431
DNAJC8,6.28679899917,0,5.24470924261,0
SPIN1,0,5.71274232156,0,0
RYBP,7.99834305964,7.37457341793,7.57194469868,7.82500661602
SEC24B,5.64668888159,5.87089299642,6.01929280094,0
SPTBN1,0,0,0,0
UBE2S,8.74196918366,8.50950811321,8.80202337348,8.69572377705
CIC,6.639196315,0,0,6.92480162794
FAM168B,0,5.61734223393,5.86755205147,6.22393885399
SNAI2,0,6.47225794768,6.34345941178,0
STAG2,7.96760821829,6.85232101116,7.60497109722,8.20093169803
ELMSAN1,8.08978942554,8.15931759597,8.13953588067,7.81292505748
ZMYM1,8.24803797423,6.65692627712,6.59791655886,0
RPL18A,6.55812185182,5.96798749956,0,6.42852242657
RXRB,8.33425191391,8.42389509959,8.10681594895,8.19141789367
CHD8,7.77580307075,0,6.98024101957,7.79108511288
RCC1,7.64728398488,7.26367553283,7.33588185396,8.12513098457
ZC3H11A,0,7.18764488518,0,6.39602764978
NFYA,8.27237958347,7.99595156378,8.27428334843,8.52602394798
POLR2F,7.71649370192,7.06316245947,7.17652197768,7.28922235579
MUTYH,7.44335907992,6.90612630461,7.47947026007,7.36776641988
SNRNP40,8.8302721122,7.3083169973,7.39284713928,8.25042580913
PRRC2C,0,0,6.46699717289,7.06105872099
ARID4A,0,0,0,6.53311199845
ISL1,7.76533867441,7.28482773628,7.36125607406,7.34115694994
UHRF1,7.85294356471,7.34787019342,7.80170520147,7.91601670233
SCYL1,0,0,6.2461820267,0
NSUN3,0,5.55936761311,0,0
MCCC2,8.06931539458,6.58720085052,0,0
MTA1,0,8.05686783852,7.94889184372,7.76331503893
CDC42BPB,0,0,6.75326778267,0
UBTF,9.11244279268,8.50991882666,7.88376454412,8.35162287973
ZNF391,0,0,0,0
XPNPEP3,0,0,6.66231532678,0
MRPS14,5.5970629141,0,0,0
ZC3H13,6.96442270056,0,0,0
ZNF143,0,7.23089375581,0,6.63769157484
COQ5,0,0,0,0
TTC21B,0,6.30465415375,0,0
IQGAP2,7.44748135292,6.24050666194,6.87848199235,7.03168968152
FAM83D,7.24123982336,6.87952217333,7.24081501014,7.4561794679
YTHDF3,7.66302063561,0,0,7.83453523565
ESCO1,0,7.03691509701,6.36919258004,0
KDM1B,7.97970495377,7.39693368033,7.56597176209,7.41521570708
C12orf45,0,0,5.72128282556,0
PDF,5.49891403164,0,0,0
TFB2M,6.54996740469,6.49169870432,6.83103078386,6.62359619038
PNKD,5.93351923469,0,0,0
KIF4A,8.79136630606,8.68893390621,8.70031815991,8.61443434204
RBM23,7.68710745401,6.92812230191,7.3039573622,7.46690930982
HOXD13,6.34616609027,6.01493611924,6.02927385585,6.0145930245
MCCC1,6.86403358684,6.46849572435,0,0
HMX1,6.7842193798,6.43495527408,6.675646536,0
CWC15,7.2860177651,6.13955662575,6.44737861514,6.68911272815
